"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ARHGAP20",-33.304218726438,573.669630217066,-1.41330875146853,0.158013732029867,0.397506912062934,-5.15043284954439
"LDHA",480.564556915359,8411.06374512955,1.41318134186864,0.158051167615418,0.397506912062934,-5.15060376012033
"MIR3144",0.0526650229919532,0.175160046668172,1.4131781953267,0.158052092219934,0.397506912062934,-5.15060798078036
"LYPLAL1",-9.84005302743037,456.686678179108,-1.41317593528763,0.158052756330039,0.397506912062934,-5.15061101231097
"FDX1",23.7449138957625,1611.53839900801,1.41311816164482,0.158069733773387,0.397506912062934,-5.1506885060478
"MIR6804",-0.0363250581931406,0.0985777512184884,-1.41308566796295,0.15807928302027,0.397506912062934,-5.15073208953619
"LMNB1",-79.4921789703678,756.664208523185,-1.41289301752523,0.158135908146346,0.397551810999449,-5.15099046940523
"WASF3",7.14250799009031,157.771816223771,1.41287189410717,0.158142117821343,0.397551810999449,-5.15101879768558
"B4GALT7",10.8673345257162,785.956727522444,1.41286406006052,0.158144420851906,0.397551810999449,-5.15102930369401
"STXBP5L",5.14508006481519,23.7806186588479,1.41269809308049,0.158193217330701,0.397634849421982,-5.15125186349993
"IGFLR1",-16.053507894728,238.391993289017,-1.41259079088549,0.158224771671232,0.397674535734871,-5.15139574067335
"MFNG",-8.44912364095461,131.44441519084,-1.41240189506216,0.158280331843326,0.397774543231648,-5.1516489970493
"GNGT1",-0.609286260609514,5.93036649560157,-1.41203615121687,0.158387950635634,0.397967485693398,-5.15213926138063
"PFN2",-253.639233096355,10458.7367184432,-1.41203373714756,0.158388661151127,0.397967485693398,-5.15214249692038
"ADAM21P1",-0.0768269967306627,0.332936223306904,-1.41194005920674,0.158416234567084,0.39799712158567,-5.15226804776712
"PSMG1",-11.1071666938254,648.482290213481,-1.41166461936589,0.158497329366224,0.398161202662448,-5.15263715507271
"OCM",-0.172154620204032,1.87219288940607,-1.41149988148752,0.158545846423655,0.398243420652288,-5.1528578803392
